uid,pmin_median,pmax_median,pmax_99_perc,pmax_max
VOGTLE1 25 3 3 UN,1.0,1700.0,2234.0,2234.0
VOGTLE1 25 2 2 UN,1.0,1700.0,2430.0,2430.0
BFNP1 20.7 1 1 UN,0.0,1675.0,1675.0,1675.0
BFNP1 20.7 2 2 UN,0.0,1675.0,1675.0,1675.0
935_KEND 345 Q34Z EQ_UN_Q345 UN,-1464.0,1464.0,1464.0,1464.0
SHAW 161 G6 SHAW_UNIT UN,0.0,1400.0,2000.0,2000.0
NSNP 22.4 3 DCGEN UN,0.0,1400.0,1400.0,1400.0
MOUNTAI2 765 Q765 MT1 UN,1.0,1360.0,1360.0,1360.0
PORTWAS0 138 Q13Z EQ_UN_Q138 UN,-1320.0,1320.0,1320.0,1320.0
AMOS 765 Q765 AM3 UN,1.0,1300.0,1300.0,1300.0
COOK 765 Q765 CK2 UN,1.0,1300.0,1300.0,1300.0
ROCKPORT 765 Q765 RP2 UN,500.0,1300.0,1300.0,1300.0
HATCH1 23 2 2 UN,0.0,1300.0,1300.0,1300.0
ROCKPORT 765 Q765 RP1 UN,500.0,1300.0,1300.0,1300.0
HATCH1 23 3 3 UN,0.0,1300.0,1300.0,1300.0
GAVIN 765 Q765 GV1 UN,1.0,1300.0,1300.0,1300.0
GAVIN 765 Q765 GV2 UN,1.0,1300.0,1300.0,1300.0
COOK 345 Q345 CK1 UN,1.0,1300.0,1300.0,1300.0
CUMBER1 20.7 2 2 UN,0.0,1282.0,1282.0,1282.0
CUMBER1 20.7 1 1 UN,0.0,1282.0,1282.0,1282.0
BRAIDWOO 345 Q345 BR-1 UN,0.0,1275.0,1275.0,1275.0
20_BRAID 24 A24 BR-1 UN,0.0,1273.0,1273.0,1273.0
CALLAWAY 345 6 1 UN,1.0,1270.0,1270.0,1270.0
CALLAWAY 25 8 1 UN,0.0,1270.0,1270.0,1270.0
BYRON000 25 A25 BY-1 UN,0.0,1268.0,1268.0,1268.0
BYRON000 345 Q345 BY-1 UN,0.0,1265.0,1265.0,1265.0
BYRON000 345 Q345 BY-2 UN,0.0,1265.0,1265.0,1265.0
1_LASALL 24 A24 LA-1 UN,0.0,1255.0,1255.0,1255.0
PTBEACH 345 Q34Z EQ_UN_Q345 UN,-1253.0,1253.0,1253.0,1253.0
WOLF 25 33 15 UN,-50.0,1241.0,1241.0,1241.0
